2025-09-18 18:15:31 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:15:38 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:15:46 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:15:53 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:00 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:07 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:14 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:21 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:28 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:35 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:42 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:51 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:16:59 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:17:06 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:17:12 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:17:19 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:17:26 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
2025-09-18 18:17:34 [INFO] 价格检查: 主网 HSK=0.4010553306 USD, Gate HSK=0.4008000000 USD
